generation,best,worst,average
1,1.3128224131375992,21.496677790859533,13.913097041851593
2,1.3128224131375992,20.54699787867983,11.666606579456925
3,1.3128224131375992,19.514391351573618,10.15087012189661
4,1.3128224131375992,19.514391351573618,8.118527623458792
5,1.3128224131375992,19.514391351573618,6.872221837685776
6,1.3128224131375992,17.96961249412363,5.132556098737528
7,1.0258881278611847,15.606538763956868,4.17859843998338
8,1.0231223308126685,8.919073493193187,3.2661023207373994
9,0.20868751495039373,6.863430626077188,2.832020532427187
10,0.20868751495039373,6.863430626077188,2.4065413555628243
11,0.036474893008297204,6.736264656469014,2.023391333463827
12,0.036474893008297204,2.9938798524390022,1.6294574643125543
13,0.036474893008297204,2.8400316918491253,1.5323526361463105
14,0.036474893008297204,2.8400316918491253,1.3517500248560512
15,0.036474893008297204,2.5599647327210406,1.2187399451449348
16,0.036474893008297204,2.2275930507406385,1.1175611936454781
17,0.036474893008297204,2.1664785447369024,0.860062674568795
18,0.027357602591047137,2.1664785447369024,0.6825306106501451
19,0.0036533967448701965,1.8770904124005892,0.4855393364319858
20,0.0036533967448701965,1.8770904124005892,0.36330400947778557
21,0.0036533967448701965,1.2170530272174307,0.26229912414589657
22,0.0036533967448701965,0.7490136895489838,0.2137938999419815
23,0.0036533967448701965,0.7490136895489838,0.15154670142067236
24,0.0016346215797069519,0.3348736286634395,0.09697322015265065
25,0.0016346215797069519,0.3348736286634395,0.07370716857653857
26,0.0016346215797069519,0.23915860641016362,0.05859913211403451
27,1.4560048282419302E-4,0.16685672548527775,0.04323650933280884
28,1.4560048282419302E-4,0.13205586836944416,0.03497499811043728
29,1.4560048282419302E-4,0.0851570298708042,0.025841795730425412
30,1.7946746352581755E-5,0.05995649038815243,0.015269882874471926
31,1.7946746352581755E-5,0.04254305604770314,0.008716264663474894
32,1.7946746352581755E-5,0.025130932605284872,0.00512352718354876
33,1.7946746352581755E-5,0.01433732237794949,0.0029670370299253257
34,1.162775281660089E-5,0.008495833011951781,0.0016733733016955643
35,1.162775281660089E-5,0.0049997894089042205,0.001165481099026744
36,1.162775281660089E-5,0.004088751072996555,7.74471074171883E-4
37,1.162775281660089E-5,0.003664171501007285,5.685529687696355E-4
38,1.162775281660089E-5,0.0015685520794863628,4.2192278390644765E-4
39,1.162775281660089E-5,0.0015685520794863628,3.293947567177824E-4
40,1.7648787862256654E-6,7.437188068331047E-4,2.1353741595939724E-4
41,1.7648787862256654E-6,5.558941130372475E-4,1.446777820735967E-4
42,1.7648787862256654E-6,5.275542149694168E-4,1.072543635308243E-4
43,1.7648787862256654E-6,1.8879278459982274E-4,6.820460176176546E-5
44,1.7648787862256654E-6,1.8879278459982274E-4,4.96460325364545E-5
45,1.7648787862256654E-6,1.8879278459982274E-4,4.221983443608579E-5
46,1.7648787862256654E-6,1.1643967092789254E-4,2.6319061403032862E-5
47,5.715969475517113E-7,1.1643967092789254E-4,1.9110385621985416E-5
48,4.371893771448754E-7,9.274708808959531E-5,1.4388601209249785E-5
49,1.2024741069538436E-7,3.576318350306806E-5,9.35374785001386E-6
50,9.05681183382967E-8,3.452035480311366E-5,7.407434829094229E-6
51,6.907155736257664E-8,2.4745921361368772E-5,5.269284569209276E-6
52,6.907155736257664E-8,2.4745921361368772E-5,4.088385318068433E-6
53,5.977121109168593E-8,1.5442634474283068E-5,2.42409313448988E-6
54,5.977121109168593E-8,7.2281505638649435E-6,1.7510059918102172E-6
55,5.977121109168593E-8,4.238064811978859E-6,1.0135972245439718E-6
56,4.004590659079099E-8,3.2395260265438708E-6,7.49334346936692E-7
57,4.004590659079099E-8,2.6132756381080924E-6,5.419014355823038E-7
58,4.004590659079099E-8,1.0435609243408805E-6,2.9716039142257953E-7
59,1.988819331444347E-9,7.310932934601055E-7,1.9259932957815805E-7
60,1.988819331444347E-9,4.7237334444005796E-7,1.4251195221248736E-7
61,4.175690904162366E-10,3.8036829641541203E-7,9.972581048067753E-8
62,4.175690904162366E-10,3.7848458589451184E-7,8.372937308820383E-8
63,4.175690904162366E-10,2.7565251015104764E-7,6.478750036897906E-8
64,4.175690904162366E-10,1.8064413342955277E-7,4.7891891243878604E-8
65,3.4590641462273197E-10,1.8064413342955277E-7,3.636989639232979E-8
66,3.4590641462273197E-10,1.8064413342955277E-7,2.823740342883241E-8
67,3.4590641462273197E-10,5.977121109168593E-8,1.6730243093121545E-8
68,3.4590641462273197E-10,5.977121109168593E-8,1.1369050287868277E-8
69,8.292566633372189E-11,3.8808294799963505E-8,8.271064499965064E-9
70,8.292566633372189E-11,2.2803037680318994E-8,5.7664231256637775E-9
71,8.292566633372189E-11,2.172778357234506E-8,4.0606732287784556E-9
72,9.840128711857687E-12,2.098528373295494E-8,2.9502686071936068E-9
73,9.840128711857687E-12,1.103092506227199E-8,1.7123211915048842E-9
74,4.4009240696141205E-13,3.60792551390432E-9,1.0746931788929714E-9
75,4.4009240696141205E-13,3.54057316798162E-9,8.190631639592994E-10
76,4.4009240696141205E-13,3.54057316798162E-9,5.737782249326528E-10
77,4.4009240696141205E-13,1.4172338858031708E-9,3.2154011009311033E-10
78,4.4009240696141205E-13,8.09877054308572E-10,2.075000260504112E-10
79,4.4009240696141205E-13,5.127742674915226E-10,1.5604185499284996E-10
80,4.4009240696141205E-13,4.874429748724651E-10,1.0303326192229179E-10
81,4.4009240696141205E-13,2.561755252372677E-10,7.465019713492893E-11
82,4.4009240696141205E-13,1.933480042737301E-10,5.069343167463103E-11
83,7.105427357601002E-15,1.933480042737301E-10,4.394552277631192E-11
84,7.105427357601002E-15,1.933480042737301E-10,2.863187020807345E-11
85,7.105427357601002E-15,5.952083270699404E-11,1.5508847539535964E-11
86,7.105427357601002E-15,3.161337858159641E-11,8.840244092311877E-12
87,7.105427357601002E-15,3.161337858159641E-11,5.42557110350117E-12
88,7.105427357601002E-15,1.9621193558805317E-11,3.873941167853445E-12
89,7.105427357601002E-15,9.759304475664976E-12,2.368558682519506E-12
90,7.105427357601002E-15,9.759304475664976E-12,1.7927792583805058E-12
91,7.105427357601002E-15,9.759304475664976E-12,1.2367973312166214E-12
92,7.105427357601002E-15,5.1314508198174735E-12,7.924327860564518E-13
93,7.105427357601002E-15,2.90834023530806E-12,5.879652320572859E-13
94,7.105427357601002E-15,2.2017943024366105E-12,4.564171263155004E-13
95,1.7763568394002505E-15,1.5827339439056232E-12,2.7347013542566854E-13
96,1.7763568394002505E-15,8.046896482483135E-13,1.610978017652087E-13
97,-4.440892098500626E-16,5.204725539442734E-13,1.077715694464132E-13
98,-4.440892098500626E-16,2.7000623958883807E-13,8.964384790033365E-14
99,-4.440892098500626E-16,2.7000623958883807E-13,7.37454541877014E-14
100,-4.440892098500626E-16,2.3225865675158275E-13,5.4711790653527716E-14
