sweep_parameter,sweep_wert,variante,radius,zielrichtung,wiederholung,maze_seed,run_seed,wanddichte,kuerzester_weg,geloest,ziel_generation,schwelle_generation,generationen,beste_fitness,schritte_bester,netz_knoten,netz_verbindungen,pop_size,compatibility_threshold,conn_add_prob,node_add_prob,laufzeit_s
conn_add_prob,0.3,V1,1,1,5,5,5,0.2624,48,1,17,17,18,43.94113,48,11,19,1000,2.8,0.3,0.3,18.4
conn_add_prob,0.3,V1,1,1,6,6,6,0.2464,48,1,17,17,18,43.94113,48,11,26,1000,2.8,0.3,0.3,18.3
conn_add_prob,0.3,V1,1,1,7,7,7,0.2896,50,0,,,100,20.04113,,16,14,1000,2.8,0.3,0.3,106.0
conn_add_prob,0.3,V1,1,1,8,8,8,0.24,48,1,19,19,20,43.94113,58,10,23,1000,2.8,0.3,0.3,21.4
conn_add_prob,0.3,V1,1,1,9,9,9,0.2272,48,1,6,6,7,43.94113,48,5,24,1000,2.8,0.3,0.3,7.1
conn_add_prob,0.7,V1,1,1,0,0,0,0.2432,50,1,24,24,25,43.94113,50,8,16,1000,2.8,0.7,0.3,24.0
conn_add_prob,0.7,V1,1,1,1,1,1,0.2656,48,1,23,23,24,43.94113,56,10,22,1000,2.8,0.7,0.3,24.9
conn_add_prob,0.7,V1,1,1,2,2,2,0.2528,48,1,24,24,25,43.94113,48,9,19,1000,2.8,0.7,0.3,25.5
conn_add_prob,0.7,V1,1,1,3,3,3,0.2336,48,1,10,10,11,43.94113,48,7,24,1000,2.8,0.7,0.3,11.0
conn_add_prob,0.7,V1,1,1,4,4,4,0.2256,48,1,14,14,15,43.94113,50,8,26,1000,2.8,0.7,0.3,15.3
conn_add_prob,0.7,V1,1,1,5,5,5,0.2624,48,1,4,4,5,43.94113,48,8,36,1000,2.8,0.7,0.3,5.1
conn_add_prob,0.7,V1,1,1,6,6,6,0.2464,48,1,22,22,23,43.94113,48,8,17,1000,2.8,0.7,0.3,24.9
conn_add_prob,0.7,V1,1,1,7,7,7,0.2896,50,0,,,100,20.04113,,4,13,1000,2.8,0.7,0.3,98.3
conn_add_prob,0.7,V1,1,1,8,8,8,0.24,48,0,,,100,21.24113,,8,14,1000,2.8,0.7,0.3,100.8
conn_add_prob,0.7,V1,1,1,9,9,9,0.2272,48,1,9,9,10,43.94113,48,4,20,1000,2.8,0.7,0.3,10.4
node_add_prob,0.1,V1,1,1,0,0,0,0.2432,50,1,90,90,91,43.94113,60,4,6,1000,2.8,0.5,0.1,79.7
node_add_prob,0.1,V1,1,1,1,1,1,0.2656,48,1,40,40,41,43.94113,48,9,18,1000,2.8,0.5,0.1,36.3
node_add_prob,0.1,V1,1,1,2,2,2,0.2528,48,1,9,9,10,43.94113,48,6,29,1000,2.8,0.5,0.1,10.0
node_add_prob,0.1,V1,1,1,3,3,3,0.2336,48,1,7,7,8,43.94113,48,8,33,1000,2.8,0.5,0.1,8.0
node_add_prob,0.1,V1,1,1,4,4,4,0.2256,48,0,,,100,21.14113,,10,31,1000,2.8,0.5,0.1,82.5
node_add_prob,0.1,V1,1,1,5,5,5,0.2624,48,1,3,3,4,43.94113,48,6,34,1000,2.8,0.5,0.1,4.0
